City,Latitude,Longitude,Humidity
castro,-24.7911,-50.0119,40
mulege,26.8833,-111.9833,39
kirksville,40.1948,-92.5833,58
puntarenas,9.9763,-84.8384,94
lebu,-37.6167,-73.65,97
new norfolk,-42.7826,147.0587,82
qaanaaq,77.484,-69.3632,85
saint-philippe,-21.3585,55.7679,82
longyearbyen,78.2186,15.6401,92
richards bay,-28.783,32.0377,75
cururupu,-1.8283,-44.8683,47
vaini,-21.2,-175.2,72
the pas,53.8251,-101.2541,77
lompoc,34.6391,-120.4579,100
nikolskoye,59.7035,30.7861,44
busselton,-33.65,115.3333,80
kargil,34.5667,76.1,40
fuengirola,36.54,-4.6247,60
tera,14.0078,0.7531,31
khatanga,71.9667,102.5,82
fairbanks,64.8378,-147.7164,90
poltavka,54.3663,71.7632,64
goshogawara,40.8044,140.4414,99
coquimbo,-29.9533,-71.3436,80
omsukchan,62.5333,155.8,63
port elizabeth,-33.918,25.5701,45
avarua,-21.2078,-159.775,79
rantepao,-2.9701,119.8978,97
hermanus,-34.4187,19.2345,66
bubaque,11.2833,-15.8333,88
ancud,-41.8697,-73.8203,94
albany,42.6001,-73.9662,45
cape town,-33.9258,18.4232,76
den helder,52.9599,4.7593,67
yellowknife,62.456,-114.3525,59
monkey bay,-14.0728,34.9201,52
arraial do cabo,-22.9661,-42.0278,75
poum,-20.2333,164.0167,90
kavieng,-2.5744,150.7967,79
margate,51.3813,1.3862,72
avera,33.194,-82.5271,62
jeremie,18.65,-74.1167,64
saint-pierre,-21.3393,55.4781,75
jamestown,42.097,-79.2353,69
sinnamary,5.3833,-52.95,71
sao joao da barra,-21.6403,-41.0511,73
atuona,-9.8,-139.0333,75
touros,-5.1989,-35.4608,68
hailar,49.2,119.7,76
tarauaca,-8.1614,-70.7656,41
puerto ayora,-0.7393,-90.3518,85
nome,64.5011,-165.4064,87
bredasdorp,-34.5322,20.0403,62
loandjili,-4.7561,11.8578,75
saskylakh,71.9167,114.0833,72
bluff,-46.6,168.3333,83
sabha,27.0377,14.4283,14
bilibino,68.0546,166.4372,90
khasan,42.4308,130.6434,94
gamba,-2.65,10.0,74
kaitangata,-46.2817,169.8464,91
severnyy,50.677,36.5532,85
east london,-33.0153,27.9116,53
clyde river,70.4692,-68.5914,57
rikitea,-23.1203,-134.9692,76
kabanjahe,3.1001,98.4908,94
khao yoi,13.2403,99.8243,82
barrow,71.2906,-156.7887,93
ushuaia,-54.8,-68.3,81
chipinge,-20.1883,32.6236,55
floro,61.5996,5.0328,80
hilo,19.7297,-155.09,97
hobart,-42.8794,147.3294,90
butaritari,3.0707,172.7902,77
zonguldak,41.25,31.8333,46
nantucket,41.2835,-70.0995,82
lebyazhye,55.2689,66.4947,74
grudziadz,53.4841,18.7537,41
hasaki,35.7333,140.8333,91
kruisfontein,-34.0033,24.7314,70
esperance,-33.8667,121.9,77
los llanos de aridane,28.6585,-17.9182,69
san cristobal,7.7669,-72.225,44
souillac,-20.5167,57.5167,79
georgetown,5.4112,100.3354,96
seymchan,62.8833,152.4333,71
leo,11.1,-2.1,51
iranshahr,27.2025,60.6848,45
piacenza,45.0468,9.6994,22
makokou,0.5738,12.8642,87
hithadhoo,-0.6,73.0833,74
kalmunai,7.4167,81.8167,76
punta arenas,-53.15,-70.9167,70
grindavik,63.8424,-22.4338,93
mataura,-46.1927,168.8643,98
ketchikan,55.3422,-131.6461,90
port alfred,-33.5906,26.891,77
rio grande,-32.035,-52.0986,98
tura,25.5198,90.2201,95
dindori,22.95,81.0833,84
port lincoln,-34.7333,135.8667,66
saint anthony,45.0205,-93.218,48
randfontein,-26.1844,27.702,39
aripuana,-9.1667,-60.6333,28
venice,27.0998,-82.4543,58
nanyamba,-10.6833,39.8333,67
santa marta,11.2408,-74.199,75
talnakh,69.4865,88.3972,60
sfantu gheorghe,45.8667,25.7833,27
presidencia roque saenz pena,-26.7852,-60.4388,26
ballina,-28.8667,153.5667,97
darhan,49.4867,105.9228,89
along,28.1667,94.7667,95
zhigansk,66.7697,123.3711,93
codrington,-38.2667,141.9667,88
isangel,-19.55,169.2667,87
koumac,-20.5667,164.2833,89
mount gambier,-37.8333,140.7667,96
carnarvon,-24.8667,113.6333,64
lamentin,16.271,-61.6312,61
lavrentiya,65.5833,-171.0,87
kattivakkam,13.2167,80.3167,87
kantilo,20.35,85.1833,94
hecun,36.5333,114.1111,87
necochea,-38.5473,-58.7368,64
wangqing,43.3218,129.7634,99
chapais,49.7834,-74.8492,55
eyl,7.9803,49.8164,78
nanortalik,60.1432,-45.2371,81
aswan,24.0934,32.907,9
grand gaube,-20.0064,57.6608,72
pevek,69.7008,170.3133,90
ocos,14.5094,-92.1933,75
chuy,-33.6971,-53.4616,82
klaksvik,62.2266,-6.589,82
dingle,10.9995,122.6711,90
tomatlan,19.9333,-105.25,66
vila franca do campo,37.7167,-25.4333,65
qujing,25.4833,103.7833,94
norman wells,65.282,-126.8329,60
jurado,7.1053,-77.7641,86
cherskiy,68.75,161.3,94
homer,59.6425,-151.5483,92
kirillov,59.863,38.3813,63
san patricio,28.017,-97.5169,45
torbay,47.6666,-52.7314,70
mikhaylovka,50.06,43.2379,65
chokurdakh,70.6333,147.9167,83
rocha,-34.4833,-54.3333,74
lufilufi,-13.8745,-171.5986,78
tautira,-17.7333,-149.15,79
srednekolymsk,67.45,153.6833,63
olafsvik,64.8945,-23.7142,84
flinders,-34.5833,150.8552,91
tuktoyaktuk,69.4541,-133.0374,73
nelson bay,-32.7167,152.15,78
kapaa,22.0752,-159.319,94
alofi,-19.0595,-169.9187,78
paso de los toros,-32.8167,-56.5167,86
ukiah,39.1502,-123.2078,44
sisimiut,66.9395,-53.6735,91
bethel,41.3712,-73.414,53
faanui,-16.4833,-151.75,73
yemelyanovo,56.1681,92.6767,93
yar-sale,66.8333,70.8333,95
sarandi,-23.4436,-51.8739,29
dalvik,65.9702,-18.5286,81
kaeo,-35.1,173.7833,92
narsaq,60.9167,-46.05,57
muirkirk,55.5227,-4.0655,94
kalach-na-donu,48.691,43.5264,78
zarinsk,53.7074,84.9493,95
alenquer,-1.9417,-54.7383,47
provideniya,64.3833,-173.3,85
sai buri,6.7013,101.6168,84
abatskoye,56.2875,70.4555,89
dikson,73.5069,80.5464,69
havelock,34.8791,-76.9013,87
ponta do sol,32.6667,-17.1,59
te anau,-45.4167,167.7167,95
nchelenge,-9.3451,28.734,50
ambovombe,-25.1667,46.0833,77
ribeira grande,38.5167,-28.7,83
mezen,65.8522,44.24,64
prince rupert,54.3161,-130.3201,79
beringovskiy,63.05,179.3167,67
wajima,37.4,136.9,94
progreso,21.2833,-89.6667,58
diamantino,-14.4086,-56.4461,21
verkhoyansk,67.5447,133.385,79
kavaratti,10.5669,72.642,80
arlit,18.7369,7.3853,11
cidreira,-30.1811,-50.2056,81
ngunguru,-35.6167,174.5,69
elliot,-31.3333,27.85,38
lovozero,68.005,35.0117,85
lodja,-3.4833,23.4333,29
mountain home,43.133,-115.6912,16
saint george,37.1041,-113.5841,21
shingu,33.7333,135.9833,85
mahebourg,-20.4081,57.7,78
shu,43.5983,73.7614,17
umba,66.6871,34.3429,64
pithiviers,48.1667,2.25,32
basco,20.4487,121.9702,75
tasiilaq,65.6145,-37.6368,76
pacific grove,36.6177,-121.9166,96
miri,4.4148,114.0089,86
brownwood,31.7093,-98.9912,39
awbari,26.5921,12.7805,14
stornoway,58.2093,-6.3865,81
cayenne,4.9333,-52.3333,1
merauke,-8.4667,140.3333,90
hamilton,39.1834,-84.5333,62
taclobo,12.3074,122.586,74
tonantins,-2.8731,-67.8022,94
bandarbeyla,9.4942,50.8122,81
antalaha,-14.9003,50.2788,85
burnie,-41.0667,145.9167,85
jalu,29.0331,21.5482,15
shimoda,34.6667,138.95,85
kloulklubed,7.0419,134.2556,74
samarai,-10.6167,150.6667,81
yazoo city,32.8551,-90.4056,60
yeniseysk,58.4497,92.1703,97
shirokiy,49.758,129.523,89
lagoa,39.05,-27.9833,86
bengkulu,-3.8004,102.2655,89
meulaboh,4.1363,96.1285,89
nkowakowa,-23.8878,30.2871,57
severo-kurilsk,50.6789,156.125,93
garwa,24.1833,83.8167,72
surt,31.2089,16.5887,53
gondar,12.6,37.4667,88
upernavik,72.7868,-56.1549,95
turukhansk,65.8167,87.9833,67
victoria,22.2855,114.1577,81
kodiak,57.79,-152.4072,81
flin flon,54.7682,-101.865,68
kupang,-10.1667,123.5833,69
purpe,64.4803,76.6897,65
great bend,38.3645,-98.7648,48
huarmey,-10.0681,-78.1522,75
nemuro,43.3236,145.575,90
road town,18.4167,-64.6167,73
pedro juan caballero,-22.5472,-55.7333,26
manggar,-2.8833,108.2667,78
cabo san lucas,22.8909,-109.9124,61
susanville,40.4163,-120.653,24
ussel,45.55,2.3167,42
lorengau,-2.0226,147.2712,80
eenhana,-17.4667,16.3333,17
bara,10.3744,10.7288,66
pocatello,42.8713,-112.4455,28
tilichiki,60.4667,166.1,83
mar del plata,-38.0023,-57.5575,62
beterou,9.1992,2.2586,67
westerly,41.3776,-71.8273,62
gudur,14.1333,79.85,58
adrar,20.5022,-10.0711,28
north platte,41.1239,-100.7654,55
gizo,-8.103,156.8419,74
monte aprazivel,-20.7725,-49.7142,23
hartselle,34.4434,-86.9353,75
port hardy,50.6996,-127.4199,88
xining,36.6167,101.7667,66
evensk,61.95,159.2333,47
komsomolskiy,40.4272,71.7189,11
nivala,63.9167,24.9667,52
rawlins,41.7911,-107.2387,17
san fernando,15.0286,120.6898,84
aguimes,27.9054,-15.4461,65
nicoya,10.1483,-85.452,92
lima,-12.0432,-77.0282,76
vila velha,-20.3297,-40.2925,72
bambous virieux,-20.3428,57.7575,78
mackenzie,55.2999,-123.1698,52
berbera,10.4396,45.0143,36
pangnirtung,66.1451,-65.7125,60
alexandria,31.2156,29.9553,58
suntar,62.1444,117.6319,84
eureka,40.8021,-124.1637,89
porto santo,33.072,-16.3415,79
boguchany,58.3814,97.4531,83
sand springs,36.1398,-96.1089,60
mogadishu,2.0371,45.3438,82
le port,-20.9373,55.2919,65
leningradskiy,69.3833,178.4167,95
vostok,46.4856,135.8833,97
nichinan,31.6,131.3667,84
teknaf,20.8624,92.3058,86
borba,-4.3878,-59.5939,42
polyarnyy,69.1989,33.4478,86
ambilobe,-13.2,49.05,67
foligno,42.944,12.7011,18
mitsamiouli,-11.3847,43.2844,74
oktyabrskiy,54.4815,53.471,74
plettenberg bay,-34.0527,23.3716,67
saldanha,-33.0117,17.9442,83
lalmohan,22.3384,90.7419,80
oranjemund,-28.55,16.4333,80
garowe,8.4054,48.4845,42
antofagasta,-23.65,-70.4,71
benemerito de las americas,16.5167,-90.6439,81
pandan,14.0453,124.1694,85
riyadh,24.6877,46.7219,10
gillette,44.2911,-105.5022,20
kijang,35.2442,129.2139,91
laguna,38.421,-121.4238,50
lasa,46.6166,10.7002,57
wasilla,61.5814,-149.4394,94
kimbe,-5.5502,150.1429,92
paterno,37.571,14.9027,37
uige,-7.6087,15.0613,28
ca mau,9.1769,105.15,92
morrope,-6.5417,-80.0111,61
maragogi,-9.0122,-35.2225,79
cortez,37.3489,-108.5859,24
baykit,61.67,96.37,94
sitka,57.0531,-135.33,78
divinopolis,-20.1389,-44.8839,28
kibala,9.1104,18.3463,83
arman,59.7,150.1667,77
mafeteng,-29.823,27.2374,41
trelew,-43.249,-65.3051,41
chengde,40.9725,117.9361,91
camabatela,-8.1881,15.375,25
mabaruma,8.2,-59.7833,58
buraydah,26.326,43.975,9
constitucion,-35.3333,-72.4167,71
roebourne,-20.7833,117.1333,73
kalaikunda,22.35,87.25,84
sauteurs,12.2167,-61.6333,74
tarakan,3.3,117.6333,73
egvekinot,66.3167,-179.1667,86
belomorsk,64.5232,34.7668,93
iqaluit,63.7506,-68.5145,81
nador,35.174,-2.9287,55
verkhnyaya inta,65.9811,60.3094,66
usinsk,65.9939,57.5281,60
minot,48.2325,-101.2963,40
nampula,-15.1165,39.2666,58
spas-demensk,54.4122,34.0226,67
ewo,-0.8725,14.8206,49
visby,57.6409,18.296,76
taoudenni,22.6783,-3.9836,12
thompson,55.7435,-97.8558,86
tadine,-21.55,167.8833,88
redmond,47.674,-122.1215,78
ban nahin,18.2418,104.2122,97
kieta,-6.2167,155.6333,75
dunedin,-45.8742,170.5036,73
alekseyevsk,57.8406,108.3492,98
banyo,6.75,11.8167,96
tambacounda,13.7539,-13.7586,91
sioux lookout,50.1001,-91.917,71
pervomayskoye,43.919,46.7102,56
namatanai,-3.6667,152.4333,83
banes,20.9625,-75.7186,66
muros,42.7762,-9.0603,57
menongue,-14.6585,17.691,19
rawson,-43.3002,-65.1023,42
yumen,40.2833,97.2,13
la ronge,55.1001,-105.2842,78
tigil,57.8,158.6667,80
vada,51.97,5.6667,64
wenchi,7.7392,-2.1046,85
mocuba,-16.8392,36.9856,67
paita,-5.0892,-81.1144,73
preobrazheniye,42.9019,133.9064,93
hastings,50.8552,0.5729,61
san andres,12.5847,-81.7006,81
yermekeyevo,54.0761,53.6712,71
kedrovka,55.5333,86.05,96
whitecourt,54.1502,-115.6855,51
nioro,13.35,-15.75,87
inverell,-29.7833,151.1167,69
kibaya,-5.3,36.5667,62
ulan-ude,51.8261,107.6098,94
aklavik,68.2191,-135.0107,56
ixtapa,20.7,-105.2,69
tucumcari,35.1717,-103.725,35
heihe,50.2441,127.4902,91
santa ana,33.7456,-117.8678,80
san policarpo,12.1791,125.5072,81
nyaunglebin,17.95,96.7333,94
tual,-5.6667,132.75,76
padang,-0.9492,100.3543,88
bathsheba,13.2167,-59.5167,85
conde,-7.2597,-34.9075,75
adre,13.4667,22.2,35
luau,-10.7073,22.2247,21
torrington,41.8007,-73.1212,53
yulara,-25.2406,130.9889,29
amapa,1.0,-52.0,47
isparta,38.0,31.0,31
sanghar,26.0466,68.9481,59
yangambi,0.8102,24.4336,94
vung tau,10.346,107.0843,80
half moon bay,37.4636,-122.4286,80
constantine,36.365,6.6147,22
boa vista,2.8197,-60.6733,68
seoul,37.5683,126.9778,81
wanning,18.8003,110.3967,86
namwala,-15.7504,26.4384,33
mataram,-8.5833,116.1167,84
wanxian,30.8039,108.3897,96
saltillo,25.4167,-101.0,37
mildura,-34.2,142.15,73
agnibilekrou,7.1344,-3.2047,64
nurota,40.5614,65.6886,11
sao filipe,14.8961,-24.4956,80
mackay,-21.15,149.2,72
marrakesh,31.6315,-8.0083,8
aksay,47.26,39.87,47
chara,56.9064,118.2631,79
jijiga,9.35,42.8,69
puerto maldonado,-12.6,-69.1833,36
san quintin,30.4833,-115.95,74
dingzhou,38.5131,114.9956,81
liuzhou,24.3126,109.3892,76
kiunga,-6.1219,141.2906,99
san ramon,37.7799,-121.978,68
colquiri,-17.4167,-67.1333,7
labrea,-7.2586,-64.7981,38
beloha,-25.1667,45.05,75
gundorovskiy,46.7805,41.8968,48
kamphaeng phet,16.25,99.5,96
mandalgovi,45.7625,106.2708,57
hovd,48.0056,91.6419,35
illapel,-31.6308,-71.1653,39
sheridan,44.8333,-106.9173,15
bonthe,7.5264,-12.505,73
baiyin,36.5583,104.2081,36
khandyga,62.6667,135.6,89
catende,-8.6667,-35.7167,82
huilong,31.8111,121.655,90
luderitz,-26.6481,15.1594,64
broome,42.2506,-75.833,54
bundi,25.4417,75.6417,84
vysotsk,60.6288,28.5705,63
bilma,18.6853,12.9164,17
pryozerne,45.2698,36.3303,46
redcliffe,-27.2307,153.0973,77
coihaique,-45.5752,-72.0662,91
murbad,19.25,73.4,84
berberati,4.2612,15.7922,98
bima,-8.4667,118.7167,89
ustrzyki dolne,49.4304,22.5938,100
nouakchott,18.0858,-15.9785,77
poya,-21.35,165.15,89
nadvoitsy,63.8667,34.3167,49
monthey,46.2555,6.9607,46
amersfoort,52.155,5.3875,58
kulhudhuffushi,6.6221,73.07,80
tabou,4.423,-7.3528,61
port-gentil,-0.7193,8.7815,77
kano,12.0001,8.5167,35
asau,46.4333,26.4,32
ilheus,-14.7889,-39.0494,61
san pedro,14.35,121.0167,82
la vega,19.2221,-70.5296,52
gouyave,12.1646,-61.7296,71
westfield,42.1251,-72.7495,52
hazorasp,41.3194,61.0742,10
flagstaff,35.1981,-111.6513,42
alice springs,-23.7,133.8833,33
ascension,30.2169,-90.9001,59
kidal,18.4411,1.4078,11
zyryanovsk,49.7386,84.2719,86
aksu,41.1231,80.2644,16
tuatapere,-46.1333,167.6833,94
stanislav,46.5691,32.1478,34
locri,38.2414,16.2623,44
karratha,-20.7377,116.8463,74
qui nhon,13.7667,109.2333,86
bikin,46.8161,134.26,98
jiangyou,31.7667,104.7167,98
dvubratskiy,45.2389,39.805,84
vallenar,-28.5708,-70.7581,57
sakakah,29.9697,40.2064,11
wad madani,14.4012,33.5199,36
takoradi,4.8845,-1.7554,71
varser,40.5534,44.9069,83
monteiro,-7.8894,-37.12,50
mancio lima,-7.6142,-72.8958,43
bikaner,28.0167,73.3,70
boende,-0.2167,20.8667,92
port blair,11.6667,92.75,84
piedras negras,28.7,-100.5167,58
waipawa,-41.4122,175.5153,73
jiuquan,39.7432,98.5174,16
isiolo,0.3546,37.5822,48
kiruna,67.8557,20.2251,50
katangli,51.7102,143.2326,94
quelimane,-17.8786,36.8883,81
ivanishchi,55.7742,40.4273,66
mutsu,41.2894,141.2169,99
comodoro rivadavia,-45.8667,-67.5,37
caravelas,-17.7125,-39.2481,76
nogent-le-rotrou,48.3333,1.0,41
iralaya,15.0,-83.2333,85
nalut,30.3333,10.85,14
kaura namoda,12.5898,6.5779,45
karachi,24.9056,67.0822,81
knysna,-34.0363,23.0471,69
mayo,38.8876,-76.5119,50
cap malheureux,-19.9842,57.6142,73
savinka,50.0785,47.0994,39
muyezerskiy,63.9333,31.65,80
pundaguitan,6.3711,126.1689,74
hammerfest,70.6634,23.6821,80
tselina,46.5338,41.0328,42
lingao,19.9103,109.6859,85
hofn,64.2539,-15.2082,88
stuttgart,48.7823,9.177,39
chissamba,-12.1667,17.3333,22
tiksi,71.6872,128.8694,81
mareeba,-17.0,145.4333,93
ngora,1.4314,33.7772,61
vigrestad,58.5667,5.7,76
atikokan,48.7555,-91.6216,43
benicarlo,40.4165,0.4271,56
hualmay,-11.0964,-77.6139,71
bichura,50.5881,107.6022,90
port keats,-14.25,129.55,39
tocuila,18.95,-97.0167,60
kyren,51.6828,102.1408,86
turayf,31.6725,38.6637,13
gigmoto,13.7796,124.39,85
krasnoselkup,65.7,82.4667,94
faya,18.3851,42.4509,47
sechura,-5.5569,-80.8222,64
kismayo,-0.3582,42.5454,79
fredericton,45.9454,-66.6656,61
xucheng,20.35,110.1288,81
klyuchi,52.2667,79.1667,61
ballarat,-37.5662,143.8496,75
malaya serdoba,52.4661,44.9512,66
rognan,67.0953,15.3878,59
caceres,39.522,-6.3748,6
manono,-7.3,27.4167,23
hobyo,5.3505,48.5268,81
college,64.8569,-147.8028,90
cabra,37.4725,-4.4421,11
presque isle,46.6811,-68.0159,65
praia da vitoria,38.7333,-27.0667,88
zabol,32.25,67.25,28
ilulissat,69.2167,-51.1,95
opuwo,-18.0607,13.84,16
general roca,-39.0333,-67.5833,69
lata,40.1629,-8.3327,45
doha,25.2867,51.5333,55
axim,4.8699,-2.2405,67
asyut,27.181,31.1837,17
luanda,-8.8368,13.2343,80
puerto carreno,6.189,-67.4859,72
tateyama,34.9833,139.8667,82
belmonte,-15.8631,-38.8828,63
phan thiet,10.9333,108.1,88
bucerias,20.75,-105.3333,69
coari,-4.085,-63.1414,50
husavik,66.0449,-17.3389,80
cheremukhovo,60.3484,59.9851,60
kaseda,31.4167,130.3167,81
mae sai,20.4335,99.8762,97
mayumba,-3.432,10.6554,78
tupiza,-21.45,-65.7167,7
